Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Duplicate),Outward issue link (Reference),Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
MultiKMeansPlusPlusClusterer buggy for alternative evaluators,MATH-1315,12929024,Bug,Open,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,,,thorstenschaefer,thorstenschaefer,10/Jan/16 18:18,07/Mar/20 15:15,23/Mar/20 17:11,,3.5,,,,,4.0,,,0,,,,,"I just looked into the source code for the MultiKMeansPlusPlusClusterer and realized that it would return null in case of an alternative evaluator that favors bigger values instead of smaller ones:
The basic idea of the clustering method is that we perform n clusterings and choose the best result. The decision what's the best result is performed by the evaluator, which by default assumes smaller values are better. 
According to the documentation, we can also provide a different evaluator, which for instance would decide that bigger values are better, but given we initialize the best value with Double.POSITIVE_INFINITY in method MultiKMeansPlusPlusClusterer.cluster(Collection<T>), we would never find a ""better"" result and thus always return null. ",,,,,,,,,,,,,"07/May/16 20:29;erans;MATH-1315.patch;https://issues.apache.org/jira/secure/attachment/12802841/MATH-1315.patch",,,1.0,,,,,,,,,,,,,,,,,,,,2016-01-10 19:46:39.843,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue May 17 16:46:07 UTC 2016,,,,,,,"0|i2r3sn:",9223372036854775807,,,,,,,,,,,,,,,,"10/Jan/16 19:46;tn;Indeed, you are right this has to be fixed.","06/May/16 21:59;erans;Do you agree that the attached patch would solve this issue?","07/May/16 17:43;thorstenschaefer;I think you uploaded the wrong patch. ","07/May/16 20:29;erans;Indeed, sorry; here is the right one!","17/May/16 16:46;erans;Hi Thorsten.

Can you contribute a unit test to ensure that the fix is working?  Thanks.",,,,,,,,,,,,,,,,,,,
Percentile computational accuracy issue,MATH-1490,13239825,Bug,Reopened,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,,chtompki,lingchao,lingchao,16/Jun/19 20:17,08/Feb/20 18:01,23/Mar/20 17:11,,3.4,3.4.1,3.5,3.6,3.6.1,,,,0,performance,,,,"The percentile method works well on the older versions, e.g., the version before 3.4. However, when I update commons-math to the newer version, there produces a computational accuracy issue. There is a backward compatibility bug behind it.","System: Linux testinglab 4.4.0-131-generic #157~14.04.1-Ubuntu


Java version ""1.8.0_191""
Java(TM) SE Runtime Environment (build 1.8.0_191-b12)
Java HotSpot(TM) 64-Bit Server VM (build 25.191-b12, mixed mode)

 

 ",,,,,,,,,STATISTICS-18,,,"16/Jun/19 20:16;lingchao;BugDemo.java;https://issues.apache.org/jira/secure/attachment/12971913/BugDemo.java",,,1.0,,,,,,,,,,,,,,,,,,,,2019-06-19 18:03:21.356,,,false,,,,,,,,,,Important,,,,,,,,,9223372036854775807,,,Sat Aug 24 12:37:09 UTC 2019,,,,,,,"0|z03st4:",9223372036854775807,,,,,,,,,,,,,,,,"19/Jun/19 18:03;virendrasinghrp;The Test case given by you in *#MATH-1491* can be resolved  using delta value *1e-15* but, it is not working in this case!

This is the error I found:

{color:#ff0000}_java.lang.AssertionError: expected:<68.95> but was:<68.94999999999999>_{color}

{color:#333333}*1e-14* should work in this case, but it's not working. While *1e-13* is working{color}","20/Jun/19 17:12;chtompki;I think [~erans] wanted to link this over to STATISTICS-7 too.","20/Jun/19 17:24;chtompki;Test case is different.","22/Jun/19 00:56;erans;bq. There is a backward compatibility bug behind it.

Could you please be more explicit?
What is the expected output?","24/Jun/19 17:33;lingchao;Hi Gilles,

For this test cast, my expected output is 68.95. It works well on the version before 3.4. When I updated the commons-math version to 3.5 or newer version. The output changed to 68.94999999999999.","25/Jun/19 00:24;erans;bq. my expected output is 68.95.

With what precision?","23/Aug/19 16:38;lingchao;Hi Gilles,

 

The output is different when I update it, and it breaks my existing code. I got an incompatible error.

 

Thanks.","23/Aug/19 23:38;erans;Did the CM code change (from when it produced your expected to when it doesn't anymore)?","23/Aug/19 23:44;lingchao;No. I didn't change any code. I just upgrade the commons-math. ","24/Aug/19 00:12;erans;I'm asking that you please check whether the _Commons_ _Math_ (CM) code was modified by the developers team, i.e. the code which you _call_ (to get the number ""68.95"").
","24/Aug/19 12:37;erans;I've done it. So:
{noformat}
$ git diff MATH_3_3 MATH_3_4 -- src/main/java/org/apache/commons/math3/stat/descriptive/rank/Percentile.java
{noformat}
displays a large number of changes between v3.3 and v3.4 (in order to add new features).
 I'm not too surprised that this could entail a 1e-15 relative change of the output. Moreover, the unit tests show an expected level of precision much lower than that (although I admit that it's not clear why).
{quote}it breaks my existing code. I got an incompatible error.
{quote}
Could you elaborate a little?",,,,,,,,,,,,,
Percentile computational accuracy issue,MATH-1491,13239826,Bug,Open,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,,,lingchao,lingchao,16/Jun/19 20:31,20/Jun/19 19:33,23/Mar/20 17:12,,3.4,3.4.1,3.5,3.6,3.6.1,,,,0,performance,,,,"Hi, 

The percentile method works well on the older versions, e.g., the version before 3.4. However, when I update commons-math to the newer version, there produces a computational accuracy issue. There is a backward compatibility bug behind it.
","System: Linux testinglab 4.4.0-131-generic #157~14.04.1-Ubuntu


Java version ""1.8.0_191""
Java(TM) SE Runtime Environment (build 1.8.0_191-b12)
Java HotSpot(TM) 64-Bit Server VM (build 25.191-b12, mixed mode)

 

 ",,,,,,,,,STATISTICS-18,,MATH-1490,"16/Jun/19 20:31;lingchao;BugDemo.java;https://issues.apache.org/jira/secure/attachment/12971914/BugDemo.java",,,1.0,,,,,,,,,,,,,,,,,,,,2019-06-19 17:47:09.355,,,false,,,,,,,,,,Important,,,,,,,,,9223372036854775807,,,Thu Jun 20 17:13:38 UTC 2019,,,,,,,"0|z03stc:",9223372036854775807,,,,,,,,,,,,,,,,"19/Jun/19 17:47;virendrasinghrp;Hi [~lingchao], I looked into your issue, I checked it on version 2.2 & 3.6 with your Test case. I found that version 2.2 gives the Percentile value = *7.55* while the version 3.6 gives the Percentile value = *7.550000000000001*(for this particular test case).

It can be solved if you add delta/tolerance *1e-15* in assertEquals(expected,actual,delta) method.","20/Jun/19 17:13;chtompki;I meant to link this one [~erans], to STATISTICS-7",,,,,,,,,,,,,,,,,,,,,,
Uncommon wilcoxon signed-rank p-values,MATH-1233,12837832,Bug,Open,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,,chtompki,icarocd,icarocd,15/Jun/15 13:05,30/Apr/18 19:17,23/Mar/20 17:12,,3.5,,,,,4.0,,,0,,,,,"This implementation in WilcoxonSignedRankTest looks weird. For equal vectors, the correct pValue should be 1, because it is the probability of the vectors to come from same population.
On the opposite, this implementation returns ~0 for equal vectors. So we need to analyze the returned pValue > significanceLevel to reject H0 hypothesis, while in R and many others tools we perform the opposite: pValue <= significanceLevel gives us an argument to reject null hypothesis.",,,,,,,,,,,,,"15/Jun/15 23:56;psteitz;MATH-1233-test.patch;https://issues.apache.org/jira/secure/attachment/12739730/MATH-1233-test.patch",,,1.0,,,,,,,,,,,,,,,,,,,,2015-06-15 22:48:59.045,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Apr 30 19:17:37 UTC 2018,,,,,,,"0|i2g1pj:",9223372036854775807,,,,,,,,,,,,,,,,"15/Jun/15 22:48;psteitz;Thanks for reporting this.  The intent of the code is to provide standard p-values, so this must indicate a bug in the implementation.","15/Jun/15 23:56;psteitz;Unit test illustrating bug.","17/Jun/15 03:38;psteitz;At least one bug is that calculateDifferences does not discard pairs with 0 difference.  It may be best, actually, to do as R does for identical input arrays: return 0 for the statistic an NaN (or throw) for the p-value.","17/Jun/15 11:24;icarocd;I think it is fine to produce NaN for identical vectors. In fact, in apache commons math's source I noticed the procedure differ from the original formulation in some ways (discarding ties as you mentioned is an example).
Two good baselines to take into account are wilcox.test from R, and scipy.stats.wilcoxon from Python.","19/Oct/15 21:12;tn;The referenced wikipedia article explains the algorithm differently than it is implemented.
In our implementation, zero values are not discarded, but we calculate the signed rank as max of W+ and W-. I did not yet find a reference to this, but this subsequently leads to errors when calculating the p-value.

scipy allows 3 different zero handling strategies, see here http://docs.scipy.org/doc/scipy-0.15.1/reference/generated/scipy.stats.wilcoxon.html","30/Apr/17 18:36;chtompki;After some reading here, the assumptions on the data given are:

# Data are paired and come from the same population.
# Each pair is chosen randomly and independently.
# The data are measured at least on an ordinal scale (i.e., they cannot be nominal).

I wonder if the two input vectors are the same, then is the consumer not violating 3? I generally agree here that the same vector should be treated in its own way. I would think that we may want to throw an exception. The only question then becomes performance in nature, in that, is doing array equality at the beginning of the procedure valuable enough that we are willing to do it every time despite the _O( n )_ performance hit? Or do we simply document the fact that we'll not give reliable results when the vectors are the same.","05/May/17 18:25;chtompki;When we consider scipy, our results don't even match up with theirs on the same input, generally. This somewhat concerns me that our algorithm is generally not correct.","05/May/17 22:44;erans;Was it the case too with the last official release (v3.6.1)?
","05/May/17 23:29;icarocd;one suggestion is to just to copy the code from scipy, including the tests, then port it to java.","06/May/17 12:50;chtompki;Gilles - yes

Icaro - that was indeed my thought as well.

I'm hoping to sort this out this week.","08/May/17 14:02;chtompki;Gilles - do you think we should deprecate the old method or simply change the signature because we're going from 3.X to 4.X? It feels like that could be abrupt with out the forewarning that deprecation provides.","08/May/17 18:01;erans;Several things will have changed or disappeared ""abruptly"" when 4.0 will be released. :)
The release notes should contain the context to help people with upgrading their code.","30/Apr/18 19:17;psteitz;A first attempt at a fix for this was implemented in [this issue|https://github.com/Hipparchus-Math/hipparchus/issues/37] in Hipparchus.  Current code there discards tied pairs, which would result in an exception if all pairs are tied.  I agree that it should be configurable how ties are handled and the scipy alternatives make sense.  Hipparchus currently implements the simplest one, what scipy calls ""wilcox.""  Another problem with the current [math] implementation is that the continuity correction is not applied correctly.  That was fixed in the Hipparchus patch, which should backport easily.",,,,,,,,,,,
PolygonsSet sets incorrect value for last vertex in open loops,MATH-1450,13137673,Bug,Resolved,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,mattjuntunen,mattjuntunen,11/Feb/18 04:41,15/Feb/18 18:57,23/Mar/20 17:12,15/Feb/18 18:57,3.5,3.6,4.0,,,4.0,,,0,,,,,"According to the documentation, for open infinite vertex loops returned by the PolygonsSet.getVertices() method, the last two points can be used to determine the direction of the last edge in the loop. However, the current code returns a point from the second-to-last edge. For example, the code below builds a box open on the top. It currently returns the vertex loop [null, \{0; 1}, \{0; 0}, \{1; 0}, \{1; 0}], where the last two vertices are the same point and cannot be used to determine the direction of the last edge. The returned vertex loop should be [null, \{0; 1}, \{0; 0}, \{1; 0}, \{1; 1}].
{code:java}
Cartesian2D v0 = new Cartesian2D(0, 1);
        Cartesian2D v1 = new Cartesian2D(0, 0);
        Cartesian2D v2 = new Cartesian2D(1, 0);
        Cartesian2D v3 = new Cartesian2D(1, 1);

        Line left = new Line(v0, v1, 1e-10);
        Line bottom = new Line(v1, v2, 1e-10);
        Line right = new Line(v2, v3, 1e-10);

        List<SubHyperplane<Euclidean2D>> boundaries = new ArrayList<>();
        boundaries.add(new SubLine(left, new IntervalsSet(left.toSubSpace(v0).getX(), left.toSubSpace(v1).getX(), 1e-10)));
        boundaries.add(new SubLine(bottom, new IntervalsSet(bottom.toSubSpace(v1).getX(), bottom.toSubSpace(v2).getX(), 1e-10)));
        boundaries.add(new SubLine(right, new IntervalsSet(right.toSubSpace(v2).getX(), right.toSubSpace(v3).getX(), 1e-10)));

        PolygonsSet polygon = new PolygonsSet(boundaries, 1e-10);

        polygon.getVertices();{code}
      

 

Pull Request: [https://github.com/apache/commons-math/pull/81]",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2018-02-14 09:14:41.776,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Feb 15 18:57:58 UTC 2018,,,,,,,"0|i3q1ev:",9223372036854775807,,,,,,,,,,,,,,,,"11/Feb/18 04:55;mattjuntunen;The pull request for this is very small. I have more tests around this issue in a branch for MATH-1437 but they all use some new test convenience methods I made. So, I thought I'd just submit the bare minimum here and then include the other tests separately to help with traceability and to avoid overly noisy commits.","14/Feb/18 00:59;mattjuntunen;I have the extra tests for this ready to go on my MATH-1437 branch. Would it be better to submit a single pull request for both of these together?","14/Feb/18 09:14;erans;Fine.  While at it, please add braces to enclose the {{else}} branch. :)
Thanks.","15/Feb/18 01:53;mattjuntunen;I've updated the pull request listed above with the extra tests. I'm not sure what ""else"" branch you're referring to, though.","15/Feb/18 10:15;erans;Merged in ""master"".

bq. I'm not sure what ""else""

Nevermind, there are several other instances of
{code}
if (...) {
    ...
} else if (...) {
    ...
} else {
    ...
}
{code}
which I find difficult to read. I prefer pairs of {{if}} and {{else}}:
{code}
if (...) {
    ...
} else {
    if (...) {
        ...
    } else {
        ...
    }
}
{code}","15/Feb/18 18:57;erans;commit c965f1c7fca41baf313e2234c6328f4082fe9ab2",,,,,,,,,,,,,,,,,,
PolygonsSet does not handle intersecting infinite lines,MATH-1447,13135675,Bug,Resolved,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,mattjuntunen,mattjuntunen,02/Feb/18 03:55,02/Feb/18 16:54,23/Mar/20 17:12,02/Feb/18 16:54,3.5,3.6,4.0,,,4.0,,,0,,,,,"When created from boundaries consisting of two intersecting infinite lines, PolygonsSet.getVertices() throws an IndexOutOfBoundsException.

{{Ex:}}
 {{Line line1 = new Line(new Cartesian2D(0, 0), new Cartesian2D(1, 1), 1e-10);}}
 {{Line line2 = new Line(new Cartesian2D(1, -1), new Cartesian2D(0, 0), 1e-10);}}

{{List<SubHyperplane<Euclidean2D>> boundaries = new ArrayList<>();}}
 {{boundaries.add(line1.wholeHyperplane());}}
 {{boundaries.add(line2.wholeHyperplane());}}

{{PolygonsSet poly = new PolygonsSet(boundaries, 1e-10);}}

{{poly.getVertices(); // throws exception}}

 

Pull request: https://github.com/apache/commons-math/pull/78",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2018-02-02 16:54:36.056,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Feb 02 16:54:36 UTC 2018,,,,,,,"0|i3pp3j:",9223372036854775807,,,,,,,,,,,,,,,,"02/Feb/18 16:54;erans;commit a37dcb93bed20ee302526473a9653f6cb5ae51a1",,,,,,,,,,,,,,,,,,,,,,,
PolyhedronsSet.getSize() is incorrect for full space,MATH-1442,13133256,Bug,Resolved,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,mattjuntunen,mattjuntunen,24/Jan/18 02:54,26/Jan/18 00:04,23/Mar/20 17:12,26/Jan/18 00:04,3.5,3.6,4.0,,,4.0,,,0,,,,,"The getSize() method in PolyhedronsSet returns 0 for instances representing the full space. It should return Double.POSITIVE_INFINITY.

{{Ex:}}

{{PolyhedronsSet poly = new PolyhedronsSet(1e-10);}}

{{poly.isFull(); // returns true}}

{{poly.getSize(); // returns 0.0}}

 

Pull request: https://github.com/apache/commons-math/pull/75",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2018-01-24 13:56:03.179,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Jan 26 00:04:17 UTC 2018,,,,,,,"0|i3pa7j:",9223372036854775807,,,,,,,,,,,,,,,,"24/Jan/18 13:56;erans;Thanks for the improvements.

Could you please add Javadoc to all fields and methods?  Thanks.
","25/Jan/18 03:15;mattjuntunen;No problem. I added them on the same pull request.","26/Jan/18 00:04;erans;commit 3ea45970dbe94643fb57ce7713dc1c624526853b",,,,,,,,,,,,,,,,,,,,,
PolygonsSet Infinite Lines and SubOrientedPoint Tolerance Issues,MATH-1436,13126131,Bug,Resolved,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,mattjuntunen,mattjuntunen,20/Dec/17 03:26,10/Jan/18 14:23,23/Mar/20 17:12,25/Dec/17 09:52,3.5,3.6,3.6.1,4.0,,4.0,,,0,,,,,"These are two separate issues that I found while using the partitioning code from 3.5 to work with complex solid models. The issues are:
1. org.apache.commons.math[34].geometry.euclidean.oned.SubOrientedPoint uses a hardcoded tolerance of 1.0e-10 instead of the tolerance from the parent hyperplane. This causes issues when working with a tolerance other than the default.
2. org.apache.commons.math[34].geometry.euclidean.twod.PolygonsSet fails on infinite line segments. An IndexOutOfBoundsException is thrown when a PolygonsSet is created with a single infinite SubLine as a boundary and a NullPointerException is thrown when one is created with a mix of finite and finite boundaries.
I will be attaching a pull request shortly with fixes and unit tests.

UPDATE:
-Pull request for v4.0: [https://github.com/apache/commons-math/pull/70]-
-Pull request for v3.6.x: [https://github.com/apache/commons-math/pull/71]- (removed; no future releases planned for v3.x)

UPDATE [2017-12-23]:
Split initial pull request into two separate ones:
- SubOrientedPoint changes: [https://github.com/apache/commons-math/pull/72]
- PolygonsSet changes: [https://github.com/apache/commons-math/pull/73 ]",,,,,,,,,,,MATH-1432,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-12-21 15:15:43.926,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Dec 25 09:52:20 UTC 2017,,,,,,,"0|i3o3sn:",9223372036854775807,,,,,,,,,,,,,,,,"21/Dec/17 15:15;erans;Hello.

Thank you for the report and fixes.

bq. These are two separate issues

Would you mind making two separate patches to help tracking of the changes? Thanks.
Also, as I'm not knowledgeable in this part of the codebase, could you perhaps write a more elaborate comment to describe the new statements (e.g. around line 850 in ""PolygonsSet.java"").

bq. Pull request for v3.6.x

No release based on the 3.x branch is planned anymore.
A few weeks ago, there was a discussion (on the ""dev"" ML, see [archive|http://markmail.org/message/75vuyhzblfadc5op]) to move the contents of package {{org.apache.commons.math4.geometry}} into a component of its own (i.e. ""Commons Geometry"") as part of a major overhaul towards modularizing ""Commons Math"" which, in the current circumstances, is not maintainable as a monolithic library.
Work is underway: components [""Commons RNG""|https://commons.apache.org/rng] and [""Commons Numbers""|https://commons.apache.org/numbers] have already been created.
As a user, your input is important; and you are most welcome to help getting there.","22/Dec/17 03:26;mattjuntunen;Hi. Thanks for the feedback. When you say to create two separate patches, do you mean to close this issue and create two new ones with separate pull requests or just to create two pull requests for this one issue?

That's good to know about the 3.x branch. I'll remove that pull request.

Reading the mailing list thread you posted was quite informative. That gave me a much better picture for the current state of the project. I'm using the geometry code from v3.6.1 quite a bit in my current project and I keep running up against issues and things I'd like to update (specifically in the partitioning package). So, I'd be very interested in helping out if this code is going to be refactored at all.","22/Dec/17 11:03;erans;bq. do you mean to close this issue and create two new ones with separate pull requests

For future work, one report per issue is the best option.

bq. just to create two pull requests for this one issue

That'll be fine but please make the log message (for each issue) a little more explicit than ""adding fixes"". ;)

bq. I'm using the geometry code from v3.6.1 quite a bit in my current project \[...\] So, I'd be very interested in helping out

Currently, you're probably the one with the most expertise with this part of the library; thanks a lot for the offer.","23/Dec/17 19:28;mattjuntunen;I split the pull request in two and added the new links in the issue description. There's also a few more unit tests and more comments. And better commit messages, too :-)

Let me know if this will work or not. Thanks.","25/Dec/17 09:52;erans;Merged in ""master"" (with tabs removed).",,,,,,,,,,,,,,,,,,,
First Moment is not public,MATH-1228,12833341,Bug,Open,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,,,fabianlange,fabianlange,28/May/15 07:58,14/May/16 18:02,23/Mar/20 17:12,,3.5,,,,,4.0,,,2,,,,,"Hi there,
is there a specific reason FirstMoment is not public?
I want to calculate a mean over a List<Double>, for that I want to loop over that list and invoke Mean.increment(listValue), however this is slower than it could be. Every increment call makes a check to incMoment.
I could avoid that if I use a FirstMoment directly, but I cannot create an instance, because it is protected.

Also this effectively means that the public constructor Mean(FirstMoment) is not usable.",,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-09-13 08:08:04.866,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Sat May 07 17:16:50 UTC 2016,,,,,,,"0|i2fb1b:",9223372036854775807,,,,,,,,,,,,,,,,"13/Sep/15 08:08;jolkdarr;I agree that the class and its subclasses should be public.
Subclasses redundantly implements Serializable interface. That should be fixed as well.","13/Sep/15 10:05;erans;bq. this effectively means that the public constructor Mean(FirstMoment) is not usable. 

I'd tend to agree that this looks like an internal inconsistency.

However, if {{FirstMoment}} was intended as an internal support class, while {{Mean}} would be the corresponding public API, it is not good to just make {{FirstMoment}} public, as this would create a redundancy in the library.

I think that the performance problem would be alleviated significantly if the field ""incMoment"" would be *final*.
Currently, the method {{copy(Mean,Mean)}} prevents such a change.
IMHO it should be fixed by removing that method, as it is itself redundant with the copy constructor {{Mean(Mean)}}.

If I'm not mistaken, the code is from a time when using ""new"" was to be avoided, leading to many such ""manual"" optimizations, that nowadays prove harmful.

I'd suggest that your raise the issue on the ""dev"" ML (as it concerns a design decision, rather than a bug fix).","06/May/16 22:05;erans;Was this discussed on the ML?
Conclusion should be reported here.","07/May/16 07:30;fabianlange;I have not taken it to the ML. for me it is a clear API bug that public API contains private classes. In fact this is a violation of the osgi contract, because the package is exported:

Export-Package: org.apache.commons.math3.stat.descriptive.moment;version=""3.6.1""

if you would use the felix bundle plugin it would print: Warning: The exported package org.apache.commons.math3.stat.descriptive.moment contains references to non-public classes.","07/May/16 10:50;erans;bq. a clear API bug

Good reason to start the discussion on the ""dev"" ML.  A better design must be proposed, and agreed on, there.
Thanks for taking this further.
And there are other (loosely) related issues, e.g.  MATH-1281.
","07/May/16 11:21;erans;Also please note that the same design is used throughout, as {{ThirdMoment}} and {{FourthMoment}} are also ""package-private"".  Oddly, {{SecondMoment}} is public.
Having all of them public would just be a workaround; we should not leave the underlying design issues unanswered. Now is a good time to fix things, e.g. also get rid of all these protected fields (which is a goal in itself: MATH-758).","07/May/16 17:16;erans;I've started a case against the whole {{(First|Second|Third|Fourth)Moment}} hierarchy on the ""dev"" ML.
",,,,,,,,,,,,,,,,,
ResizableDoubleArray does not work with double array of size 1,MATH-1252,12848722,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,johnbay,johnbay,23/Jul/15 22:24,25/Jan/16 20:28,23/Mar/20 17:12,24/Jul/15 00:38,3.4,3.4.1,3.5,,,3.6,4.0,,0,,,,,"When attempting to create a ResizableDoubleArray with an array of a single value (e.g. {4.0}), the constructor creates an internal array with 16 entries that are all 0.0

Bug looks like it might be on line 414 of ResizableDoubleArray.java:

        if (data != null && data.length > 1) {
",,600,600,,0%,600,600,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2015-07-24 00:38:29.22,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Jan 25 20:28:02 UTC 2016,,,,,,,"0|i2hv7j:",9223372036854775807,,,,,,,,,,,,,,,,"24/Jul/15 00:38;psteitz;Many thanks for reporting this and pinpointing the cause.

Fixed in 
3.x:  9f148d41e0cb5839e8680bd3b4c4bc21510e444b
master: 09fe956a62e19c160d0093f8fecf254c2bb6f0cb","25/Jan/16 20:28;luc;Closing all resolved issues that were included in 3.6 release.",,,,,,,,,,,,,,,,,,,,,,
