Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
SubnetUtils.SubnetInfo doesn't represent lowAddress and highAddress.,NET-679,13285812,Bug,Open,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Critical,,,sshplendid,sshplendid,17/Feb/20 16:26,17/Feb/20 16:26,28/Mar/20 23:27,,3.6,,,,,,,0,,,,,," 

This is my test case.

CIDR '10.213.160.0/16' should be contain 10.213.0.0 and 10,213.255.255, but shouldn't.

 

 

 
{code:java}
// 코드 자리 표시자
@Test
void when16bitIsGiven_thenReturnTrue() {
    // GIVEN
    final String CIDR = ""10.213.160.0/16"";
    SubnetInfo subnetInfo = new SubnetUtils(CIDR).getInfo();

    final String[] givenIPs = {""10.213.0.0"", ""10.213.160.0"", ""10.213.255.255""};

    // WHEN and THEN
    assertThat(subnetInfo.getLowAddress()).isEqualTo(givenIPs[0]);
    assertThat(subnetInfo.getHighAddress()).isEqualTo(givenIPs[2]);

    Stream.of(givenIPs).forEach(ip -> {
        assertThat(subnetInfo.isInRange(ip)).isTrue();
    });
}
{code}
 

 
{panel}
CIDR to IP Range{panel}
{panel}
h3. Result
||CIDR Range|10.213.160.0/16|
||Netmask|255.255.0.0|
||Wildcard Bits|0.0.255.255|
||First IP|10.213.0.0|
||Last IP|10.213.255.255|
||Total Host|65536|
{panel}
 

I think we should care about 'SubnetInfo.low' and 'SubnetInfo.high'.
{code:java}
// 코드 자리 표시자
    public final class SubnetInfo {        ...
        private int low() {
            return (isInclusiveHostCount() ? network() :
                broadcastLong() - networkLong() > 1 ? network() + 1 : 0);
        }        private int high() {
            return (isInclusiveHostCount() ? broadcast() :
                broadcastLong() - networkLong() > 1 ? broadcast() -1  : 0);
        }        public boolean isInRange(int address) {
            long addLong = address & UNSIGNED_INT_MASK;
            long lowLong = low() & UNSIGNED_INT_MASK;
            long highLong = high() & UNSIGNED_INT_MASK;
            return addLong >= lowLong && addLong <= highLong;
        }
       ...
    }
{code}","JDK 1.8

Gradle

MacOS Mojave",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-02-17 16:26:10.0,,,,,,,"0|z0bl0o:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
using execPROT on FTPSClients with Proxy Settings removes Proxy Settings,NET-642,13087557,Bug,Open,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Critical,,,DJGummikuh,DJGummikuh,17/Jul/17 12:13,27/Sep/19 09:01,28/Mar/20 23:28,,3.6,,,,,FTP,,1,,,,,,"In Reference to https://issues.apache.org/jira/browse/NET-578
I'm trying to establish an FTPS Connection via a HTTP Proxy. The Control Connection is properly established, however the Moment I do execPROT the Proxy settings are resetted by call to setSocketFactory(new FTPSSocketFactory(context)); in FTPSClient.java:534.
This causes FTPSClients with a call to execPROT to actually ignore the proxy settings and attempt to contact the FTPS Server directly for data connections.
Since we are required to use PROT P this is currently blocking our feature for FTPS Connections via HTTP proxy.","Java 1.8.0_112
Linux 64bit","markt-asf commented on pull request #27: [NET-642] Creating a unit-test that proves that execPROT resets the p…
URL: https://github.com/apache/commons-net/pull/27
 
 
   
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;01/May/19 20:43;githubbot;600","DJGummikuh commented on pull request #27: [NET-642] Creating a unit-test that proves that execPROT resets the p…
URL: https://github.com/apache/commons-net/pull/27
 
 
   …roxy settings on FTPS Clients.
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;02/May/19 09:04;githubbot;600",,0,1200,,,0,1200,,NET-637,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-08-10 20:44:57.481,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Sep 27 09:01:20 UTC 2019,,,,,,,"0|i3hldz:",9223372036854775807,,,,,,,,,,,,,,,,"10/Aug/17 10:12;DJGummikuh;Setting it to critical because we already have two customers now that can't switch from FTP to FTPS due to the need of going through a Proxy.","10/Aug/17 20:44;ggregory;Hi Johannes,

Thank you for your report.

Feel free to create a PR on GitHub with a unit test if you can.

Gary","11/Aug/17 10:09;DJGummikuh;I have the unit test but how and to which branch should I create a PR for that?

Edit: NVM, done. You have a Pull Request https://github.com/apache/commons-net/pull/27","28/Aug/17 09:17;DJGummikuh;Any thoughts on my PR?","18/Sep/17 15:02;DJGummikuh;*bump*","08/Feb/18 12:39;sebb;execPROT(""P"") calls setSocketFactory which clears the proxy variable.
I don't know enough about this to determine whether execProt should always call setSocketFactory and/or whether setSocketFactory should clear the proxy.

But an obvious work-round is to use:

{code}
Proxy p =client.getProxy(); // save ...
client.execPROT(""P"");
client.setProxy(p); // ... restore the proxy
{code}

Does that fix the issue?","08/Feb/18 13:24;DJGummikuh;No it doesn't because setProxy() resets the Socketfactory to a DefaultSocketFactory (which does not utilize TLS) - execPROT(""P"") earlier replaces the socket factory with a specific FTPSSocketFactory and initializes the SSL/TLS Context - all of which is lost when setProxy bluntly resets the socketfactory to default afterwards in your example.","08/Feb/18 13:45;sebb;I see.

So what needs to be done then?
I assume there is a good reason to clear the proxy in setSocketFactory, so dropping that might break some existing code.

[It looks like there is an unrelated bug in execPROT - it calls initSslContext() (which sets context if necessary) after using context.
If the code works in other situations I assume it is because the context has already been set up.]","08/Feb/18 14:15;sebb;Looks like NET-637 may be due to the same cause.

It has a work-round which is to use system properties to define the SOCKS proxy.","08/Feb/18 15:02;DJGummikuh;The issue with the java way of using proxies is that it's totally cumbersome. The fact that commons-net has its own proxy management is basically one of the major selling points for us to keep using commons-net. We already have this proxy management for several other things but whenever we have alternative approaches we take them. Main issue is that especially with proxies that have authentication you can basically only have one set of credentials for any given proxy server at any given time.","08/Feb/18 16:23;sebb;Yes, I realise that.
But it is still a potential work-round for some circumstances.
And it also allows one to check that the code is otherwise working OK.","14/Dec/18 16:44;dsylaiev;Also have this issue. Can't use HTTP proxy for FTPS connection which require PROT P","14/Feb/19 14:59;arrowemorse;I have the exact same issue using HTTP Proxy. The failing combination is HTTP proxy +  Local Passive Mode + execPROT = P

 

FTPSClient ftps;

Proxy proxy = *new* Proxy(Type.*_HTTP_*, *new* InetSocketAddress(""<proxyhost>"", <proxyport>));

ftps.setProxy(proxy);

ftps.execPROT(""P"");

ftps.enterLocalPassiveMode();

 

I could not make the mentioned work around work (adding explicit System._setProperty_(""socksProxyPort"", ""<port>""); System._setProperty_(""socksProxyHost"" ,""<host>"");

 Any suggested workaround?","26/Sep/19 16:58;madeyedexter;I am writing a fix for this. This issue has been open for too long and I think there should be a fix.","27/Sep/19 09:01;dsylaiev;[https://github.com/Talend/tdi-studio-se/tree/master/main/plugins/org.talend.designer.components.libs/libs_src/commons-net-ftps-proxy]

 

Here's additional lib with fix for commons-net",,,,,,,,
Apache Commons Net ftpClient.java changeWorkingDirectory() Function CRLF Injection Remote Command Execution,NET-670,13233587,Bug,Resolved,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Critical,Not A Bug,,hurstd,hurstd,15/May/19 20:11,16/Jun/19 23:02,28/Mar/20 23:28,16/Jun/19 23:02,3.6,,,,3.7,FTP,,0,patch,,,,,"Per BlackDuck Hub VulnDB 171100

Apache Commons Net contains a flaw in the changeWorkingDirectory() function in ftpClient.java that is triggered as user-supplied input is not properly sanitized. This may allow a remote attacker to use a newline character in a specially crafted string to execute arbitrary commands.

 

 ",,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2019-06-16 23:01:52.424,,,false,,,,,,,BlackDuck Hub VulnDB 171100,,,Important,Patch,,,,,,,,9223372036854775807,,,Sun Jun 16 23:01:52 UTC 2019,,,,,,,"0|z02qeo:",9223372036854775807,,,,,,,,,,,,,,,,"16/Jun/19 23:01;sebb;NET is intended as a low-level interface to various internet protocols.

The caller application must validate user input before calling NET methods.",,,,,,,,,,,,,,,,,,,,,,
SubnetUtils/SubnetInfo does not compute range for /32 subnet,NET-675,13270420,Bug,Open,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,,,david tarr,david tarr,25/Nov/19 11:18,25/Nov/19 11:20,28/Mar/20 23:28,,3.6,,,,,,,0,,,,,,"If a SubnetUtils is created using a cidr notation of a single ip-address, the isInRange returns false for the ip-address.

Example code:
{code:java}
String subnet = ""192.168.0.15/32"";

SubnetUtils subnetUtils = new SubnetUtils(subnet);
SubnetInfo info = subnetUtils.getInfo();
log.debug(""{}"", info); // first and last ip-address are 0.0.0.0
log.debug(""{}"", info.isInRange(""192.168.0.15"")); // false is returned, I would expect true
log.debug(""{}"", subnetInfo.getAddress())); // the exact address is returned
{code}",,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Nov 25 11:20:40 UTC 2019,,,,,,,"0|z08z1s:",9223372036854775807,,,,,,,,,,,,,,,,"25/Nov/19 11:20;david tarr;I am not sure if this contributes to this Jira, but https://www.ipaddressguide.com/cidr does show the 'range' correctly.",,,,,,,,,,,,,,,,,,,,,,
"SubnetUtils invalid address ""1.1.125.52/32""",NET-664,13212267,Bug,Resolved,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,Invalid,,fravigotti,fravigotti,28/Jan/19 16:20,04/May/19 11:01,28/Mar/20 23:28,04/May/19 11:01,3.6,,,,,,,0,,,,,,"during some work I've spotted an issue ( probably more addresses are affected, I've just spotted that ) 


 val addr = ""1.1.125.52/32""
 val subnetUtils = SubnetUtils(addr)
 assertThat(subnetUtils.info.lowAddress).isEqualTo(""1.1.125.52"")
----
org.opentest4j.AssertionFailedError: 
Expecting:
 <""0.0.0.0"">
to be equal to:
 <""1.1.125.52"">
but was not.
Expected :1.1.125.52
Actual :0.0.0.0
 <",kotlin,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2019-05-04 11:01:18.366,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Sat May 04 11:01:18 UTC 2019,,,,,,,"0|yi0e1s:",9223372036854775807,,,,,,,,,,,,,,,,"04/May/19 11:01;sebb;See:

 

http://commons.apache.org/proper/commons-net/javadocs/api-3.6/org/apache/commons/net/util/SubnetUtils.SubnetInfo.html#getLowAddress()",,,,,,,,,,,,,,,,,,,,,,
ALLO FTP Command for files >2GB,NET-646,13110682,Bug,Resolved,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,Fixed,,basinilya,basinilya,19/Oct/17 14:25,04/May/19 10:07,28/Mar/20 23:28,04/May/19 10:07,3.6,,,,,FTP,,0,,,,,,The allo() and allocate() methods of FTPClient should be made deprecated and new versions should be added that accept a 64-bit size.,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2017-10-19 16:24:36.566,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Sat May 04 10:07:26 UTC 2019,,,,,,,"0|i3lgsv:",9223372036854775807,,,,,,,,,,,,,,,,"19/Oct/17 16:24;sebb;Patches welcome","04/May/19 10:07;sebb;{color:#222222}commit 39f8fa7a1e8386edc05d924932733e{color}{color:#222222}a2f9b5fc6a{color}
{color:#222222}AuthorDate: Sat May 4 11:05:53 2019 +0100{color}

{color:#222222}    NET-646 ALLO FTP Command for files >2GB{color}
{color:#222222}---{color}
{color:#222222} src/changes/changes.xml                            |  3 ++{color}
{color:#222222} src/main/java/org/apache/comm{color}{color:#222222}ons/net/ftp/FTP.java  | 40 ++++++++++++++++++++++{color}
{color:#222222} .../java/org/apache/commons/n{color}{color:#222222}et/ftp/FTPClient.java | 37 ++++++++++++++++++++{color}
{color:#222222} 3 files changed, 80 insertions(+){color}",,,,,,,,,,,,,,,,,,,,,
Incorrect IP mask,NET-669,13228370,Bug,Closed,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,Won't Fix,,alekseyivashin,alekseyivashin,16/Apr/19 15:37,16/Apr/19 16:01,28/Mar/20 23:28,16/Apr/19 16:01,3.6,,,,,,,0,,,,,,"Incorrect IP mask in SubnetUtils class.

In existed implementation, IP addresses like ""256.256.256.256"" or ""999.999.999.999"" are passed through matcher.",Java 1.8,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,2019-04-16 15:37:37.0,,,,,,,"0|z01ubc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure-FTP MLSD Answer is not interpreted correctly,NET-666,13216659,Bug,Open,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,,,mcancomert,mcancomert,19/Feb/19 14:36,28/Feb/19 07:15,28/Mar/20 23:28,,3.6,,,,,FTP,,1,,,,,,"Hello,

For our integration tests, we made an FTPS server setup with Pure-FTP.
It is running with a self-signed TLS certificate in a docker container.

With FileZilla, we can make a connection and see files or we can upload/download files.
You can see the complete FileZilla communication logs in the FileZillaLog.txt
The part related to MLSD is like following:
-----
Command: MLSD
Trace: Trying to resume existing TLS session.
Trace: TLS Handshake successful
Trace: TLS Session resumed
Trace: Protocol: TLS1.2, Key exchange: ECDHE-RSA, Cipher: CHACHA20-POLY1305, MAC: AEAD
Trace: Hostname does not match certificate SANs
Response: 150 Accepted data connection
Response: 226-Options: -a -l 
Response: 226 3 matches total
Listing: type=cdir;sizd=30;modify=20190218135100;UNIX.mode=0755;UNIX.uid=1000;UNIX.gid=1000;unique=fd0eg103ba52; .
Listing: type=pdir;sizd=40;modify=20190218134929;UNIX.mode=0755;UNIX.uid=1000;UNIX.gid=0;unique=fd0eg81323a; ..
Listing: type=file;size=1002;modify=20190218135100;UNIX.mode=0644;UNIX.uid=1000;UNIX.gid=1000;unique=fd0eg103ba53; test-file.txt
Status: Directory listing of ""/test"" successful
----

With Commons-Net I have written a small test class based on CCCTester
The test file is available in ListFilesTester.java and complete logs in ListFilesLog.txt
The part related to MLSD is like following:
---
COMMAND: PASV
REPLY: 227 Entering Passive Mode (192,168,52,185,117,53)
COMMAND: MLSD
REPLY: 150 Accepted data connection
org.apache.commons.net.ftp.FTPConnectionClosedException: Connection closed without indication.
at org.apache.commons.net.ftp.FTP.__getReply(FTP.java:324)
at org.apache.commons.net.ftp.FTP.__getReply(FTP.java:300)
at org.apache.commons.net.ftp.FTP.getReply(FTP.java:732)
at org.apache.commons.net.ftp.FTPClient.completePendingCommand(FTPClient.java:1857)
at org.apache.commons.net.ftp.FTPClient.initiateMListParsing(FTPClient.java:3452)
at org.apache.commons.net.ftp.FTPClient.mlistDir(FTPClient.java:2546)
at org.apache.commons.net.ftp.FTPClient.mlistDir(FTPClient.java:2533)
at org.apache.commons.net.ftp.parser.ListFilesTester.test(ListFilesTester.java:48)
at org.apache.commons.net.ftp.parser.ListFilesTester.main(ListFilesTester.java:103)
---

Once we debug inside  __getReply method we can actually see 
150 Accepted data connection
message in ""_replyLines"" list but it is written in the list of previous answer lines. 
Next call to _controlInput_.readLine(); results NULL in the ""line"" variable and exception is thrown.

This issue seems also very similar to 
https://issues.apache.org/jira/browse/NET-598

It would be nice to make Pure-FTP working together with Commons-Net.
It is used in one of the popular Docker Images for FTP Servers and it is useful for integration tests.
Docker Image is available under:
https://hub.docker.com/r/stilliard/pure-ftpd/
",,,,,,,,,,,,,"19/Feb/19 14:29;mcancomert;FileZillaLog.txt;https://issues.apache.org/jira/secure/attachment/12959257/FileZillaLog.txt","19/Feb/19 14:29;mcancomert;ListFilesLog.txt;https://issues.apache.org/jira/secure/attachment/12959256/ListFilesLog.txt","19/Feb/19 14:29;mcancomert;ListFilesTester.java;https://issues.apache.org/jira/secure/attachment/12959255/ListFilesTester.java",,,3.0,,,,,,,,,,,,,,,,,,,,2019-02-28 07:15:49.022,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Thu Feb 28 07:15:49 UTC 2019,,,,,,,"0|yi1500:",9223372036854775807,,,,,,,,,,,,,,,,"20/Feb/19 09:31;mcancomert;If I enable Trace Logging on FileZilla, there seems to be a communication between Server and FileZilla after reply code 150 is received.

Command:	MLSD
Trace:	CTransferSocket::OnConnect
Trace:	CFtpControlSocket::OnReceive()
Response:	150 Accepted data connection
Trace:	CFtpRawTransferOpData::ParseResponse() in state 4
Trace:	CControlSocket::SendNextCommand() --> I guess FileZilla sends something here.
Trace:	CFtpRawTransferOpData::Send() in state 5
Trace:	CTransferSocket::TransferEnd(1)
Trace:	CFtpControlSocket::TransferEnd()
Trace:	CFtpControlSocket::OnReceive()
Response:	226-Options: -a -l 
Response:	226 4 matches total
","28/Feb/19 07:15;skin27;I also had error 150 when connecting to FileZilla Server over FTPS. I used Apache Camel as a client which uses Apache Commons Net FTP under the hood. The reason for the error code was because TLS session reuse.

Short explanation:

1) First a connection and handshake are done by the client over port 21.

2) Secondly the data is send over another port.

FileZilla by default expects that this is done from the same session/handshake. Commons Net make a new session. It was possible to turn that off in the FileZilla server TLS configuration. Then it worked. It would be better if Commons FTP could handle this scenario (or at least give some clear error message).

For complete information:

http://camel.465427.n5.nabble.com/FTPS-Handshake-error-td5829967.html",,,,,,,,,,,,,,,,,,,,,
IMAP fails to quote/encode mailbox names,NET-614,13042604,Bug,Resolved,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,Fixed,,sebb,sebb,13/Feb/17 16:27,05/Oct/18 19:40,28/Mar/20 23:28,05/Oct/18 19:40,3.6,,,,,IMAP,,0,,,,,,"Mailbox names need to be quoted if they contain spaces or double-quote.

If they contain non-ASCII characters then they also need to be encoded [1]

There may be other parameters that are not being encoded/quoted correctly.

[1] https://tools.ietf.org/html/rfc3501#section-5.1.3",,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Oct 05 19:40:52 UTC 2018,,,,,,,"0|i3a027:",9223372036854775807,,,,,,,,,,,,,,,,"14/Feb/17 17:28;sebb;Also note that double-quotes and backslash need to be escaped in quoted strings. [2]

Care must be taken when fixing this to avoid breaking applications that don't expect NET to adjust the parameter, and which therefore do the quoting/encoding themselves.

The simplest might be to provide a separate method for processing the mailbox name which applications need to call before passing the name to a method that takes a mailbox name parameter.

However this would be awkard to use, so the code can perhaps be updated to do the processing automatically, at least common cases.

If the input string is not enclosed in quotes, then clearly it has not been quoted, and so it is safe to do so if neccesary.
Likewise if the input contains non-ASCII characters it cannot have been encoded.

However in general it's not possible to determine if a string has been encoded and/or quoted.
This is because the process of quoting and encoding generates a string which passes the tests for a valid mailbox name.

[2] https://tools.ietf.org/html/rfc2683#section-3.4.2","05/Oct/18 19:40;sebb;URL: http://svn.apache.org/viewvc?rev=1842969&view=rev
Log:
NET-614 IMAP fails to quote/encode mailbox names...

URL: http://svn.apache.org/viewvc?rev=1842972&view=rev
Log:
NET-614 IMAP fails to quote/encode mailbox names
More commands with mailbox name parameters",,,,,,,,,,,,,,,,,,,,,
FTPSClient hang java.net.SocketInputStream.socketRead0 while doing SSL Handshake - Socket timeout not set,NET-661,13165402,Bug,Open,NET,Commons Net,software,issues@commons.apache.org,,http://commons.apache.org/net/,Major,,,danalain,danalain,11/Jun/18 19:49,11/Jun/18 19:54,28/Mar/20 23:28,,3.6,,,,,FTP,,0,hang,implicit,socketRead0,SocketTimeout,ssl,"In a lab with unstable connection we have our FTP client hanging forever (e.g. 36 hours -> base on our linux kernel configuration)
{quote}java.lang.Thread.State: RUNNABLE
 at java.net.SocketInputStream.socketRead0(Native Method)
 at java.net.SocketInputStream.socketRead(SocketInputStream.java:116)
 at java.net.SocketInputStream.read(SocketInputStream.java:171)
 at java.net.SocketInputStream.read(SocketInputStream.java:141)
 at sun.security.ssl.InputRecord.readFully(InputRecord.java:465)
 at sun.security.ssl.InputRecord.read(InputRecord.java:503)
 at sun.security.ssl.SSLSocketImpl.readRecord(SSLSocketImpl.java:983)
 locked <0x00000000ae243608> (a java.lang.Object)
 at sun.security.ssl.SSLSocketImpl.performInitialHandshake(SSLSocketImpl.java:1385)
 locked <0x00000000ae243620> (a java.lang.Object)
 at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1413)
 at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1397)
 at org.apache.commons.net.ftp.FTPSClient.sslNegotiation(FTPSClient.java:289)
 at org.apache.commons.net.ftp.FTPSClient.connectAction(FTPSClient.java:220)
 at org.apache.commons.net.SocketClient._connect(SocketClient.java:244)
 at org.apache.commons.net.SocketClient.connect(SocketClient.java:202)
...
{quote}
our code
{quote}final FTPSClient client = new FTPSClient(""TLSv1.2"", true);
 // load the trust store& key store 
 client.setDataTimeout(1000);
 client.setControlKeepAliveReplyTimeout(1000);
 client.setControlKeepAliveTimeout(1000);
 client.setDefaultTimeout(1000);
 client.setConnectTimeout(1000);
 client.connect(host, port); // hang randomly
 client.setSoLinger(true, 10); // cannot be call before, socket is null 
 reply = client.getReplyCode();
{quote}
After looking at the FTP, FTPSClient code and reading on internet I realize that in the case of an implicit connection the Socket is initialized with So timeout of 0 because ""_connectAction_()"" is overwritten

*Socket.java*
{quote}protected void _connectAction_() throws IOException
     *_socket_.setSoTimeout(_timeout_);*
     _input_ = _socket_.getInputStream(); 
     _output_ = _socket_.getOutputStream(); }
{quote}
*FTPSClient.java*
{quote}@Override

protected void _connectAction_() throws IOException {

    // Implicit mode.
      if (isImplicit) {
          *sslNegotiation();* {color:#ff0000}// hangs at java.net.SocketInputStream.socketRead0(Native Method){color}
      }
      super._connectAction_(); *{color:#ff0000}// setSoTimeout will be set here - but too late{color}*
      // Explicit mode.
      if (!isImplicit)
 Unknown macro: \{        execAUTH();      }
 }
{quote}
So *workaround* for now is to overwrite FTPSClient-> _connectAction_()
{quote}new FTPSClient(...)

{
 @Override 
 protected void _connectAction_() throws IOException  
Unknown macro: \{        _socket_.setSoTimeout(_timeout_);     super._connectAction_(); }
};
{quote}","Apache NET 3.6

 

#uname -a

Linux myhost 2.6.32-696.23.1.el6.x86_64 #1 SMP Sat Feb 10 11:10:31 EST 2018 x86_64 x86_64 x86_64 GNU/Linux


# java -version

openjdk version ""1.8.0_171""

OpenJDK Runtime Environment (build 1.8.0_171-b10)

OpenJDK 64-Bit Server VM (build 25.171-b10, mixed mode)

 

 ",,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,9223372036854775807,,,2018-06-11 19:49:48.0,,,,,,,"0|i3uqq7:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
