Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Tags),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
MultiDirectional optimzation loops forver if started at the correct solution,MATH-283,12432884,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Blocker,Fixed,luc,michael.nischt,michael.nischt,12/Aug/09 14:51,14/Apr/10 00:32,20/Mar/20 20:32,14/Aug/09 19:25,2.0,,,,,,,2.1,,0,,,,,,,,"MultiDirectional.iterateSimplex loops forever if the starting point is the correct solution.

see the attached test case (testMultiDirectionalCorrectStart) as an example.",none specific for the issue (it's a programming bug),86400,86400,,0%,86400,86400,,,,,,"12/Aug/09 15:02;michael.nischt;MultiDirectionalCorrectStartTest.java;https://issues.apache.org/jira/secure/attachment/12416328/MultiDirectionalCorrectStartTest.java",,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2009-08-14 19:25:15.696,,,false,,,,,,,,,,,,,,,,,34193,,,Fri Aug 14 19:25:15 UTC 2009,,,,,,,"0|i0rven:",160732,,,,,,,,,,,,,,,,"12/Aug/09 15:02;michael.nischt;the failing unit test","14/Aug/09 19:25;luc;fixed in subversion repository as of r804328
thanks for the report and the fix suggestion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacobian rank determination in LevenbergMarquardtOptimizer is not numerically robust,MATH-352,12458613,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Critical,Fixed,,geneg102,geneg102,10/Mar/10 03:58,23/Mar/11 20:01,20/Mar/20 20:32,06/Jun/10 14:04,2.0,,,,,,,2.2,,0,commons-math,DifferentiableMultivariateVectorialOptimizer,Levenberg,Marquardt,optimizer,qr,rank,"LevenbergMarquardtOptimizer is designed to handle singular jacobians,  i.e. situations when some of the fitted parameters depend on each other. The check for that condition is in LevenbergMarquardtOptimizer.qrDecomposition uses precise comparison to 0.

    if (ak2 == 0 ) {
                rank = k;
                return;
        }

A correct check would be comparison with a small epsilon. Hard coded 2.2204e-16 is used elsewhere in the same file for similar purpose.

final double QR_RANK_EPS = Math.ulp(1d); //2.220446049250313E-16
....
    if (ak2  < QR_RANK_EPS) {
                rank = k;
                return;
        }

Current exact equality check is not tolerant of the real world poorly conditioned situations. For example I am trying to fit a cylinder into sample 3d points. Although theoretically cylinder has only 5 independent variables, derivatives for optimizing function (signed distance) for such minimal parametrization are complicated and it  it much easier to work with a 7 variable parametrization (3 for axis direction, 3 for axis origin and 1 for radius). This naturally results in rank-deficient jacobian, but because of the numeric errors the actual ak2 values for the dependent rows ( I am seeing values of 1e-18 and less), rank handling code does not kick in.
Keeping these tiny values around then leads to huge corrections for the corresponding very slowly changing parameters, and consequently to numeric errors and instabilities. I have noticed the problem because tiny shift in the initial guess (on the order of 1e-12 in the axis component and origins) resulted in significantly different finally converged answers (origins and radii differing by as much as 0.02) which I tracked to loss of precision due to numeric error with root cause described above.
Providing a cutoff as suggested fixes the issue. After the fix, small perturbations in the initial guess had practically no effect to the converged result - as expected from a robust algorithm.
",commons-math 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2010-06-06 14:04:42.316,,,false,,,,,,,,,,,,,,,,,150520,,,Wed Mar 23 20:01:13 UTC 2011,,,,,,,"0|i0ruzr:",160665,,,,,,,,,,,,,,,,"06/Jun/10 14:04;luc;Fixed in subversion repository as of r951864.
A setQRRankingThreshold has been added as proposed in [http://markmail.org/message/p2j76cnwsyehl7u6].
Thanks for reporting the issue.","23/Mar/11 20:01;luc;Closing issue as it was included in version 2.2, which has been released",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent solver doesn't throw IllegalArgumentException when initial guess has the wrong sign,MATH-343,12457208,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Critical,Fixed,,aktasv,aktasv,23/Feb/10 20:21,03/Apr/10 03:44,20/Mar/20 20:32,23/Feb/10 21:02,2.0,,,,,,,2.1,,0,,,,,,,,"Javadoc for ""public double solve(final UnivariateRealFunction f, final double min, final double max, final double initial)"" claims that ""if the values of the function at the three points have the same sign"" an IllegalArgumentException is thrown. This case isn't even checked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2010-02-23 21:02:31.079,,,false,,,,,,,,,,,,,,,,,34172,,,Wed Feb 24 11:34:29 UTC 2010,,,,,,,"0|i0rv1r:",160674,,,,,,,,,,,,,,,,"23/Feb/10 21:02;luc;Fixed in subversion repository as of r915517
Thanks for reporting the issue","23/Feb/10 22:56;aktasv;Thanks for the quick turnaround. One comment: I'm not sure whether the check before throwing the IllegalArgumentException is necessary. You can have only the following situations (given that min <= initial <= max and assuming neither min nor max is a root):

    * yMin and yMax have the same sign:
        ** yInitial has a different sign: Handled on line 121 (function is not monotonous between min and max)
        ** yInitial has the same sign: Falls through to line 136 and yMin * yMax > 0 by definition
    * yMin and yMax do not have the same sign:
        ** yInitial has the same sign as yMax: Handled on line 121
        ** yInitial has the same sign as yMin: Handled on line 133

In this case I'd say code between lines 131 and 142 should be replaced by the throw statement on line 137.","24/Feb/10 11:34;luc;You are right.
I have removed the unreachable code and committed it in the subversion repository
Thanks again",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent solver returns the wrong value if either bracket endpoint is root,MATH-344,12457210,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Critical,Fixed,,aktasv,aktasv,23/Feb/10 20:23,03/Apr/10 03:07,20/Mar/20 20:32,23/Feb/10 21:10,2.0,,,,,,,,,0,,,,,,,,"The solve(final UnivariateRealFunction f, final double min, final double max, final double initial) function returns yMin or yMax if min or max are deemed to be roots, respectively, instead of min or max.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2010-02-23 21:10:00.408,,,false,,,,,,,,,,,,,,,,,34150,,,Tue Feb 23 21:10:00 UTC 2010,,,,,,,"0|i0rv1j:",160673,,,,,,,,,,,,,,,,"23/Feb/10 21:10;luc;Fixed in subversion repository as of r915522
thanks for reporting the issue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODE integrator goes past specified end of integration range,MATH-358,12460137,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Critical,Fixed,luc,luc,luc,24/Mar/10 17:25,03/Apr/10 03:01,20/Mar/20 20:32,24/Mar/10 22:13,2.0,,,,,,,2.1,,0,,,,,,,,"End of integration range in ODE solving is handled as an event.
In some cases, numerical accuracy in events detection leads to error in events location.
The following test case shows the end event is not handled properly and an integration that should cover a 60s range in fact covers a 160s range, more than twice the specified range.
{code}
  public void testMissedEvent() throws IntegratorException, DerivativeException {
          final double t0 = 1878250320.0000029;
          final double t =  1878250379.9999986;
          FirstOrderDifferentialEquations ode = new FirstOrderDifferentialEquations() {
            
            public int getDimension() {
                return 1;
            }
            
            public void computeDerivatives(double t, double[] y, double[] yDot)
                throws DerivativeException {
                yDot[0] = y[0] * 1.0e-6;
            }
        };

        DormandPrince853Integrator integrator = new DormandPrince853Integrator(0.0, 100.0,
                                                                               1.0e-10, 1.0e-10);

        double[] y = { 1.0 };
        integrator.setInitialStepSize(60.0);
        double finalT = integrator.integrate(ode, t0, y, t, y);
        Assert.assertEquals(t, finalT, 1.0e-6);
    }

{code}",Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,34176,,,Wed Mar 24 22:13:19 UTC 2010,,,,,,,"0|i0ruyn:",160660,,,,,,,,,,,,,,,,"24/Mar/10 22:13;luc;fixed in subversion repository as of r927202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbstractRandomGenerator nextInt() and nextLong() default implementations generate only positive values,MATH-640,12517683,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,psteitz,psteitz,psteitz,02/Aug/11 19:06,24/Mar/12 16:16,20/Mar/20 20:32,03/Aug/11 04:17,1.1,1.2,2.0,2.1,2.2,,,3.0,,0,,,,,,,,The javadoc for these methods (and what is specified in the RandomGenerator interface) says that all int / long values should be in the range of these methods.  The default implementations provided in this class do not generate negative values.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,66450,,,Wed Aug 03 04:17:43 UTC 2011,,,,,,,"0|i0ap27:",60333,,,,,,,,,,,,,,,,"03/Aug/11 04:17;psteitz;Fixed in r1153338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BitStreamGenerators (MersenneTwister, Well generators) do not clear normal deviate cache on setSeed",MATH-723,12534683,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,psteitz,psteitz,psteitz,11/Dec/11 21:03,24/Mar/12 16:16,20/Mar/20 20:32,11/Dec/11 21:59,2.0,2.1,2.2,,,,,3.0,,0,,,,,,,,"The BitStream generators generate normal deviates (for nextGaussian) in pairs, caching the last value generated. When reseeded, the cache should be cleared; otherwise seeding two generators with the same value is not guaranteed to generate the same sequence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,220404,,,Sun Dec 11 21:59:41 UTC 2011,,,,,,,"0|i0aopr:",60277,,,,,,,,,,,,,,,,"11/Dec/11 21:59;psteitz;Fixed in r1213087.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TestUtils is thread-hostile,MATH-505,12497270,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,sebb,sebb,sebb,01/Feb/11 00:28,24/Mar/12 16:16,20/Mar/20 20:32,01/Feb/11 18:58,1.2,2.0,2.1,,,,,3.0,,0,,,,,,,,"TestUtils has several mutable static fields which are not synchronised, or volatile.

If one of the fields is updated by thread A, there is no guarantee that thread B will see the full update - it may see a partially updated object.

Furthermore, at least some of the static fields reference a mutable object, which can be changed whilst another thread is using it.

As far as I can tell, this class must only ever be used by a single thread otherwise the results will be unpredictable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2011-02-01 00:49:14.878,,,false,,,,,,,,,,,,,,,,,150623,,,Tue Feb 01 15:02:19 UTC 2011,,,,,,,"0|i0ru3j:",160520,,,,,,,,,,,,,,,,"01/Feb/11 00:49;psteitz;What fields, exactly?","01/Feb/11 01:01;sebb;{code}
/** Singleton TTest instance using default implementation. */
private static TTest tTest = new TTestImpl();

/** Singleton ChiSquareTest instance using default implementation. */
private static ChiSquareTest chiSquareTest =
        new ChiSquareTestImpl();

/** Singleton ChiSquareTest instance using default implementation. */
private static UnknownDistributionChiSquareTest unknownDistributionChiSquareTest =
        new ChiSquareTestImpl();

/** Singleton OneWayAnova instance using default implementation. */
private static OneWayAnova oneWayAnova =
        new OneWayAnovaImpl();
{code}

All of the above may be changed by set methods. There is no synch.","01/Feb/11 01:12;psteitz;OK, I was looking at the wrong TestUtils :)

The reason for this strange-looking setup is to allow the implementations to be pluggable at runtime.  ""Hostile"" is a harsh word, but this class is certainly *not* threadsafe.  Ideas / patches to achieve the design goal with less ""hostility"" would be appreciated.

I would have to double-check, but I don't think that there is any test instance state used by the methods in this class. ","01/Feb/11 02:33;sebb;By thread-hostile, I mean that it is not possible in general for two different threads to use the class safely.
If one thread changes any of the static fields, there is no way of knowing how the methods called by the other thread will behave. This is partly because the values are not safely published currently, but even if they were, the threads don't know what settings will be used as they can be changed at any time by another thread.

In general, any class which relies on mutable static state for its behaviour is thread-hostile.
The shared state cannot simultaneously satisfy two threads needing different behaviour.

I think the only safe way for two threads to use the class as it stands is if they both synchronize on the class.
This will ensure safe publication of any field changes, and enforce serial usage which can guarantee the setting that will be used (but the lock will have to be held for the set call as well).

ChiSquareTestImpl has a non-final instance field which means its value won't necessarily be safely published.
The field also has a setter which could be invoked by one thread while another was using it.

TTestImpl is immutable (has no fields), and OneWayAnovaImpl can be made immutable, but other implementations of the interfaces might exist which are not immutable.

The simplest way to make the class thread-safe would be to convert all the methods and fields from static to instance, but I don't know if that is acceptable.","01/Feb/11 05:14;psteitz;Making the methods instance sort of defeats the purpose of the class.  None of the instance data in any of the static singletons is actually used or depended on by the methods of this class.  You are correct though that if one thread changes the impl for one of the singletons while another is using the class, the other could see a different than expected impl.  I think the practical likelihood of this is pretty much nil, as it is hard to imagine an application supplying two different implementations for the tests and wanting different threads to use different impls.  Personally, I would be happy just documenting the fact that the class is not threadsafe and if concurrent threads want to plug in different implementations, they need to synchronize on the class.  If this is not acceptable, my next preference would be to remove the pluggability - i.e., make the singletons final or get rid of them altogether, creating instances as needed for static method calls.  There is no initialization overhead creating the test classes.","01/Feb/11 07:15;joehni;@Phil: Please also keep in mind that M3 supports now (currently optional) parallel execution and it might be no longer a proper assumption that all tests are executed serially.","01/Feb/11 12:53;sebb;There is another possible option, which would be to fix the default implementations, and create new static methods that took an extra parameter for the implementation to be used.

At present, changes to the static fields are not guaranteed to be published correctly. Making them volatile would fix this, but would not help with concurrent access.","01/Feb/11 15:02;psteitz;Thanks, Joerg.  There should be no problems with the unit tests unless and until we introduce different tests that actually test the pluggability.  

I thought about the additional parameter option, Sebb; but that again defeats the purpose of this ""convenience class"" - you might as well just instantiate the implementation and use it.

I think the best solution is to just make the fields final and drop the getters and setters.  This is consistent with StatUtils.  So we should document the ""hostility"" issues in 2.2 and deprecate there and drop in 3.0.",,,,,,,,,,,,,,,,,,,,,,,
ValueServer not deterministic for a fixed random number seed,MATH-654,12520774,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,psteitz,d.james,d.james,30/Aug/11 17:23,24/Mar/12 16:16,20/Mar/20 20:32,01/Sep/11 00:14,1.1,1.2,2.0,2.1,2.2,,,3.0,,0,,,,,,,,"I have built an agent-based model using the Apache Commons Math library, which has come in handy.

The ValueServer seemed particularly helpful, as explained at:
http://commons.apache.org/math/userguide/random.html

My simulation needs repeatable randomness, so I used this form of the ValueServer constructor:

    ValueServer(RandomData randomData) 
    Construct a ValueServer instance using a RandomData as its source of random data.
    // http://commons.apache.org/math/api-2.2/org/apache/commons/math/random/ValueServer.html

However, in my simulation, I found that the ValueServer did not act deterministically if I supplied the same random number seed.

I have not inspected the source code, but I suspect that the ValueServer is not using the `randomData` generator correctly. If it was, then it should be deterministic.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2011-08-30 19:00:38.698,,,false,,,,,,,,,,,,,,,,,62977,,,Thu Sep 01 00:14:02 UTC 2011,,,,,,,"0|i0ap0f:",60325,,,,,,,,,,,,,,,,"30/Aug/11 19:00;psteitz;Thanks for reporting this.  I assume you are using DIGEST_MODE.  If this is the case and you are comfortable compiling the code in trunk, the fix for MATH-634 enables a workaround for this.  Using the reseed method added to EmpiricalDistributionImpl in trunk, you can use ValueServer's getEmpiricalDistribution to get the distribution and then invoke reseed.  Unfortunately, this method does not exist in any released version yet.

The problem is that ValueServer#getNextDigest (what it does for getNext in DIGEST_MODE) delegates to EmpiricalDistributionImpl#getNextValue.  EmpiricalDistributionImpl has its own RandomData instance.  To fix this issue, EmpiricalDistirbutionImpl should add a constructor taking a RandomData and ValueServer should provide this.","01/Sep/11 00:14;psteitz;Fixed in r1163875. ValueServer now exposes a reSeed method that when supplied a fixed seed will generate a fixed sequence in any stochastic mode. The RandomDataImpl that it uses internally is passed to the EmpiricalDistributionImpl it creates when used in DIGEST_MODE.  The changes for this issue include an incompatible (vs. 2.x) change: the constructor for EmpiricalDistributionImpl that previously took a RandomData now takes a RandomDataImpl.  The plan for 3.0 is to merge these.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Complex Add and Subtract handle NaN arguments differently, but javadoc contracts are the same",MATH-618,12513980,Bug,Closed,MATH,Commons Math,software,issues@commons.apache.org,,http://commons.apache.org/math/,Major,Fixed,,psteitz,psteitz,13/Jul/11 20:23,24/Mar/12 16:16,20/Mar/20 20:32,14/Jul/11 06:08,1.2,2.0,2.1,2.2,,,,3.0,,0,,,,,,,,"For both Complex add and subtract, the javadoc states that

{code}
     * If either this or <code>rhs</code> has a NaN value in either part,
     * {@link #NaN} is returned; otherwise Inifinite and NaN values are
     * returned in the parts of the result according to the rules for
     * {@link java.lang.Double} arithmetic
{code}

Subtract includes an isNaN test and returns Complex.NaN if either complex argument isNaN; but add omits this test.  The test should be added to the add implementation (actually restored, since this looks like a code merge problem going back to 1.1).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,68108,,,Thu Jul 14 06:08:54 UTC 2011,,,,,,,"0|i0ap53:",60346,,,,,,,,,,,,,,,,"14/Jul/11 06:08;psteitz;Fixed in r1146573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
